Scope,Metric,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p
Overall,SAIDI,12,0.2722639272729493,0.39193424840336355,-0.1328671328671329,0.6805975082860818
Overall,SAIFI,12,-0.33965857543528455,0.2800661606737308,-0.4545454545454546,0.13765791634772945
Month January,SAIDI,1,,,,
Month January,SAIFI,1,,,,
Month February,SAIDI,1,,,,
Month February,SAIFI,1,,,,
Month March,SAIDI,1,,,,
Month March,SAIFI,1,,,,
Month April,SAIDI,1,,,,
Month April,SAIFI,1,,,,
Month May,SAIDI,1,,,,
Month May,SAIFI,1,,,,
Month June,SAIDI,1,,,,
Month June,SAIFI,1,,,,
Month July,SAIDI,1,,,,
Month July,SAIFI,1,,,,
Month August,SAIDI,1,,,,
Month August,SAIFI,1,,,,
Month September,SAIDI,1,,,,
Month September,SAIFI,1,,,,
Month October,SAIDI,1,,,,
Month October,SAIFI,1,,,,
Month November,SAIDI,1,,,,
Month November,SAIFI,1,,,,
Month December,SAIDI,1,,,,
Month December,SAIFI,1,,,,
